nohup: ignoring input
Namespace(batch_size=64, clip=0.4, cuda=False, gpus='0', lr=0.1, momentum=0.9, nEpochs=50, pretrained='', resume='', start_epoch=1, step=10, threads=1, weight_decay=0.0001)
Random Seed:  2660
===> Loading datasets
2118371 data samples found
===> Building model
/home/me-user/anaconda3/envs/mullenj/lib/python3.8/site-packages/torch/nn/_reduction.py:44: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
===> Setting GPU
===> Setting Optimizer
===> Training
Epoch = 1, lr = 0.1
main_vdsr.py:148: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  nn.utils.clip_grad_norm(model.parameters(),opt.clip)
===> Epoch[1](332/26479): Loss: 8543.0791015625
===> Epoch[1](333/26479): Loss: 16111.5195312500
===> Epoch[1](334/26479): Loss: 12859.0917968750
===> Epoch[1](335/26479): Loss: 13517.1542968750
===> Epoch[1](336/26479): Loss: 8936.9677734375
===> Epoch[1](337/26479): Loss: 9866.9501953125
===> Epoch[1](338/26479): Loss: 18432.6640625000
===> Epoch[1](339/26479): Loss: 12262.5126953125
===> Epoch[1](340/26479): Loss: 21321.3320312500
===> Epoch[1](341/26479): Loss: 16037.3339843750
===> Epoch[1](342/26479): Loss: 18646.9687500000
===> Epoch[1](343/26479): Loss: 12402.7832031250
===> Epoch[1](344/26479): Loss: 16082.0341796875
===> Epoch[1](345/26479): Loss: 12361.7187500000
===> Epoch[1](346/26479): Loss: 14052.7470703125
===> Epoch[1](347/26479): Loss: 10126.2636718750
===> Epoch[1](348/26479): Loss: 13507.9687500000
===> Epoch[1](349/26479): Loss: 17146.5175781250
===> Epoch[1](350/26479): Loss: 19658.1953125000
===> Epoch[1](351/26479): Loss: 32664.0468750000
===> Epoch[1](352/26479): Loss: 30090.7929687500
===> Epoch[1](353/26479): Loss: 13918.8408203125
===> Epoch[1](354/26479): Loss: 19042.8457031250
===> Epoch[1](355/26479): Loss: 15881.6142578125
===> Epoch[1](356/26479): Loss: 19340.4101562500
===> Epoch[1](357/26479): Loss: 16382.0039062500
===> Epoch[1](358/26479): Loss: 12716.2089843750
===> Epoch[1](359/26479): Loss: 12162.8671875000
===> Epoch[1](360/26479): Loss: 10674.9667968750
===> Epoch[1](361/26479): Loss: 14469.7714843750
===> Epoch[1](362/26479): Loss: 12167.7285156250
===> Epoch[1](363/26479): Loss: 17303.5644531250
===> Epoch[1](364/26479): Loss: 10565.3339843750
===> Epoch[1](365/26479): Loss: 17399.1191406250
===> Epoch[1](366/26479): Loss: 12932.6699218750
===> Epoch[1](367/26479): Loss: 14151.1650390625
===> Epoch[1](368/26479): Loss: 12699.7050781250
===> Epoch[1](369/26479): Loss: 12172.2880859375
===> Epoch[1](370/26479): Loss: 11434.6757812500
===> Epoch[1](371/26479): Loss: 13224.2539062500
===> Epoch[1](372/26479): Loss: 10410.4648437500
===> Epoch[1](373/26479): Loss: 14310.5712890625
===> Epoch[1](374/26479): Loss: 11970.5898437500
===> Epoch[1](375/26479): Loss: 10316.8886718750
===> Epoch[1](376/26479): Loss: 10833.2441406250
===> Epoch[1](377/26479): Loss: 14171.2265625000
===> Epoch[1](378/26479): Loss: 10027.8027343750
===> Epoch[1](379/26479): Loss: 13659.0546875000
===> Epoch[1](380/26479): Loss: 12853.4228515625
===> Epoch[1](381/26479): Loss: 10853.7880859375
===> Epoch[1](382/26479): Loss: 14032.5898437500
===> Epoch[1](383/26479): Loss: 16222.8457031250
===> Epoch[1](384/26479): Loss: 10694.6835937500
===> Epoch[1](385/26479): Loss: 12427.6972656250
===> Epoch[1](386/26479): Loss: 14825.2587890625
===> Epoch[1](387/26479): Loss: 12565.0410156250
===> Epoch[1](388/26479): Loss: 14199.4599609375
===> Epoch[1](389/26479): Loss: 11596.0683593750
===> Epoch[1](390/26479): Loss: 14096.1835937500
===> Epoch[1](391/26479): Loss: 10820.9687500000
===> Epoch[1](392/26479): Loss: 10643.5166015625
===> Epoch[1](393/26479): Loss: 18484.1894531250
===> Epoch[1](394/26479): Loss: 21060.5156250000
===> Epoch[1](395/26479): Loss: 16646.0859375000
===> Epoch[1](396/26479): Loss: 14831.9345703125
===> Epoch[1](397/26479): Loss: 13351.2890625000
===> Epoch[1](398/26479): Loss: 12766.5644531250
===> Epoch[1](399/26479): Loss: 11217.1562500000
===> Epoch[1](400/26479): Loss: 13274.8603515625
===> Epoch[1](401/26479): Loss: 11549.3417968750
===> Epoch[1](402/26479): Loss: 12287.2314453125
===> Epoch[1](403/26479): Loss: 11866.7285156250
===> Epoch[1](404/26479): Loss: 12310.2363281250
===> Epoch[1](405/26479): Loss: 13893.1015625000
===> Epoch[1](406/26479): Loss: 13013.0898437500
===> Epoch[1](407/26479): Loss: 11243.3007812500
===> Epoch[1](408/26479): Loss: 11456.8730468750
===> Epoch[1](409/26479): Loss: 13609.7578125000
===> Epoch[1](410/26479): Loss: 14993.9238281250
===> Epoch[1](411/26479): Loss: 12462.4238281250
===> Epoch[1](412/26479): Loss: 18152.5703125000
===> Epoch[1](413/26479): Loss: 19467.5468750000
===> Epoch[1](414/26479): Loss: 15896.7460937500
===> Epoch[1](415/26479): Loss: 13383.4199218750
===> Epoch[1](416/26479): Loss: 16588.3789062500
===> Epoch[1](417/26479): Loss: 19415.1503906250
===> Epoch[1](418/26479): Loss: 9715.5781250000
===> Epoch[1](419/26479): Loss: 9983.3896484375
===> Epoch[1](420/26479): Loss: 12885.7675781250
===> Epoch[1](421/26479): Loss: 10910.6757812500
===> Epoch[1](422/26479): Loss: 15951.5175781250
===> Epoch[1](423/26479): Loss: 12166.5175781250
===> Epoch[1](424/26479): Loss: 14170.2373046875
===> Epoch[1](425/26479): Loss: 12732.1953125000
===> Epoch[1](426/26479): Loss: 9818.8369140625
===> Epoch[1](427/26479): Loss: 12805.2304687500
===> Epoch[1](428/26479): Loss: 14545.2597656250
===> Epoch[1](429/26479): Loss: 11432.6611328125
===> Epoch[1](430/26479): Loss: 10531.9375000000
===> Epoch[1](431/26479): Loss: 11905.8710937500
===> Epoch[1](432/26479): Loss: 15689.6054687500
===> Epoch[1](433/26479): Loss: 18455.5058593750
===> Epoch[1](434/26479): Loss: 12231.6806640625
===> Epoch[1](435/26479): Loss: 10973.1259765625
===> Epoch[1](436/26479): Loss: 12033.1357421875
===> Epoch[1](437/26479): Loss: 13961.7089843750
