2118371 data samples found
Train Epoch: 0 [30800/52959 (0.009908266365528107)]
Train Epoch: 0 [30900/52959 (0.005896870046854019)]
Train Epoch: 0 [31000/52959 (0.010361012071371078)]
Train Epoch: 0 [31100/52959 (0.004139433614909649)]
Train Epoch: 0 [31200/52959 (0.008301634341478348)]
Train Epoch: 0 [31300/52959 (0.011156936176121235)]
Train Epoch: 0 [31400/52959 (0.005644241347908974)]
Train Epoch: 0 [31500/52959 (0.009493757970631123)]
Train Epoch: 0 [31600/52959 (0.013469802215695381)]
Train Epoch: 0 [31700/52959 (0.01024558488279581)]
Train Epoch: 0 [31800/52959 (0.00555533217266202)]
Train Epoch: 0 [31900/52959 (0.007472393102943897)]
Train Epoch: 0 [32000/52959 (0.005362999625504017)]
Train Epoch: 0 [32100/52959 (0.009652895852923393)]
Train Epoch: 0 [32200/52959 (0.010509888641536236)]
Train Epoch: 0 [32300/52959 (0.0064095198176801205)]
Train Epoch: 0 [32400/52959 (0.007803942076861858)]
Train Epoch: 0 [32500/52959 (0.01683058962225914)]
Train Epoch: 0 [32600/52959 (0.009974769316613674)]
Train Epoch: 0 [32700/52959 (0.00999239832162857)]
Train Epoch: 0 [32800/52959 (0.004426304250955582)]
Train Epoch: 0 [32900/52959 (0.009457005187869072)]
Train Epoch: 0 [33000/52959 (0.015225822106003761)]
Train Epoch: 0 [33100/52959 (0.010148352012038231)]
Train Epoch: 0 [33200/52959 (0.011907955631613731)]
Train Epoch: 0 [33300/52959 (0.012663397006690502)]
Train Epoch: 0 [33400/52959 (0.006989649496972561)]
Train Epoch: 0 [33500/52959 (0.024673784151673317)]
Train Epoch: 0 [33600/52959 (0.005176808685064316)]
Train Epoch: 0 [33700/52959 (0.0035495287738740444)]
Train Epoch: 0 [33800/52959 (0.0062348498031497)]
Train Epoch: 0 [33900/52959 (0.009794436395168304)]
Train Epoch: 0 [34000/52959 (0.006588404066860676)]
Train Epoch: 0 [34100/52959 (0.008859829977154732)]
Train Epoch: 0 [34200/52959 (0.01254191529005766)]
Train Epoch: 0 [34300/52959 (0.009055200032889843)]
Train Epoch: 0 [34400/52959 (0.018656963482499123)]
Train Epoch: 0 [34500/52959 (0.01047505997121334)]
Train Epoch: 0 [34600/52959 (0.009692767634987831)]
Train Epoch: 0 [34700/52959 (0.00609057629480958)]
Train Epoch: 0 [34800/52959 (0.0076983277685940266)]
Train Epoch: 0 [34900/52959 (0.005947762634605169)]
Train Epoch: 0 [35000/52959 (0.0110528115183115)]
Train Epoch: 0 [35100/52959 (0.009823458269238472)]
Train Epoch: 0 [35200/52959 (0.01079084537923336)]
Train Epoch: 0 [35300/52959 (0.00887188408523798)]
Train Epoch: 0 [35400/52959 (0.007243929896503687)]
Train Epoch: 0 [35500/52959 (0.009329549968242645)]
Train Epoch: 0 [35600/52959 (0.011458298191428185)]
Train Epoch: 0 [35700/52959 (0.008465518243610859)]
Train Epoch: 0 [35800/52959 (0.006398459896445274)]
Train Epoch: 0 [35900/52959 (0.0041384026408195496)]
Train Epoch: 0 [36000/52959 (0.0051841032691299915)]
Train Epoch: 0 [36100/52959 (0.005763683933764696)]
Train Epoch: 0 [36200/52959 (0.008192779496312141)]
Train Epoch: 0 [36300/52959 (0.039825648069381714)]
Train Epoch: 0 [36400/52959 (0.012347105890512466)]
Train Epoch: 0 [36500/52959 (0.014788073487579823)]
Train Epoch: 0 [36600/52959 (0.009075107052922249)]
Train Epoch: 0 [36700/52959 (0.007875217124819756)]
Train Epoch: 0 [36800/52959 (0.00552719971165061)]
Train Epoch: 0 [36900/52959 (0.00600829441100359)]
Train Epoch: 0 [37000/52959 (0.004062837455421686)]
Train Epoch: 0 [37100/52959 (0.01153058186173439)]
Train Epoch: 0 [37200/52959 (0.009638184681534767)]
Train Epoch: 0 [37300/52959 (0.013895256444811821)]
Train Epoch: 0 [37400/52959 (0.008058406412601471)]
Train Epoch: 0 [37500/52959 (0.006376973353326321)]
Train Epoch: 0 [37600/52959 (0.007608524523675442)]
Train Epoch: 0 [37700/52959 (0.009352177381515503)]
Train Epoch: 0 [37800/52959 (0.00781420711427927)]
Train Epoch: 0 [37900/52959 (0.006103533785790205)]
Train Epoch: 0 [38000/52959 (0.003851995337754488)]
Train Epoch: 0 [38100/52959 (0.01929805614054203)]
Train Epoch: 0 [38200/52959 (0.020276088267564774)]
Train Epoch: 0 [38300/52959 (0.014709791168570518)]
Train Epoch: 0 [38400/52959 (0.009603835642337799)]
Train Epoch: 0 [38500/52959 (0.0070885480381548405)]
Train Epoch: 0 [38600/52959 (0.006374974735081196)]
Train Epoch: 0 [38700/52959 (0.007961506024003029)]
Train Epoch: 0 [38800/52959 (0.007683811243623495)]
Train Epoch: 0 [38900/52959 (0.005548616871237755)]
Train Epoch: 0 [39000/52959 (0.005606488790363073)]
Train Epoch: 0 [39100/52959 (0.010128257796168327)]
Train Epoch: 0 [39200/52959 (0.010238036513328552)]
Train Epoch: 0 [39300/52959 (0.006361415144056082)]
Train Epoch: 0 [39400/52959 (0.007248015142977238)]
Train Epoch: 0 [39500/52959 (0.015635911375284195)]
Train Epoch: 0 [39600/52959 (0.006141467951238155)]
Train Epoch: 0 [39700/52959 (0.009762607514858246)]
Train Epoch: 0 [39800/52959 (0.005922379903495312)]
Train Epoch: 0 [39900/52959 (0.008570946753025055)]
Train Epoch: 0 [40000/52959 (0.007171324919909239)]
Train Epoch: 0 [40100/52959 (0.007351471111178398)]
Train Epoch: 0 [40200/52959 (0.008947962895035744)]
Train Epoch: 0 [40300/52959 (0.019947897642850876)]
Train Epoch: 0 [40400/52959 (0.006358026526868343)]
Train Epoch: 0 [40500/52959 (0.0071694254875183105)]
Train Epoch: 0 [40600/52959 (0.010266087017953396)]
Train Epoch: 0 [40700/52959 (0.013423780910670757)]
Train Epoch: 0 [40800/52959 (0.015225257724523544)]
Train Epoch: 0 [40900/52959 (0.007662952411919832)]
Train Epoch: 0 [41000/52959 (0.005276619456708431)]
Train Epoch: 0 [41100/52959 (0.004899709019809961)]
Train Epoch: 0 [41200/52959 (0.008004633709788322)]
Train Epoch: 0 [41300/52959 (0.006927119567990303)]
Train Epoch: 0 [41400/52959 (0.003672643331810832)]
Train Epoch: 0 [41500/52959 (0.008742520585656166)]
Train Epoch: 0 [41600/52959 (0.009432315826416016)]
Train Epoch: 0 [41700/52959 (0.005821969360113144)]
Train Epoch: 0 [41800/52959 (0.006889738142490387)]
Train Epoch: 0 [41900/52959 (0.009836075827479362)]
Train Epoch: 0 [42000/52959 (0.00896341260522604)]
Train Epoch: 0 [42100/52959 (0.008118212223052979)]
Train Epoch: 0 [42200/52959 (0.013580390252172947)]
Train Epoch: 0 [42300/52959 (0.006410511210560799)]
Train Epoch: 0 [42400/52959 (0.013847380876541138)]
Train Epoch: 0 [42500/52959 (0.004927548114210367)]
Train Epoch: 0 [42600/52959 (0.007255359552800655)]
Train Epoch: 0 [42700/52959 (0.009324180893599987)]
Train Epoch: 0 [42800/52959 (0.007081818766891956)]
Train Epoch: 0 [42900/52959 (0.00886673666536808)]
Train Epoch: 0 [43000/52959 (0.01697934977710247)]
Train Epoch: 0 [43100/52959 (0.00793254841119051)]
Train Epoch: 0 [43200/52959 (0.008356253616511822)]
