2118371 data samples found
Train Epoch: 0 [38400/169469 (0.04253087565302849)]
Train Epoch: 0 [38500/169469 (0.028626030310988426)]
Train Epoch: 0 [38600/169469 (0.033150412142276764)]
Train Epoch: 0 [38700/169469 (0.05036693438887596)]
Train Epoch: 0 [38800/169469 (0.04908112809062004)]
Train Epoch: 0 [38900/169469 (0.04085584729909897)]
Train Epoch: 0 [39000/169469 (0.06341683864593506)]
Train Epoch: 0 [39100/169469 (0.017618123441934586)]
Train Epoch: 0 [39200/169469 (0.04372125118970871)]
Train Epoch: 0 [39300/169469 (0.025137096643447876)]
Train Epoch: 0 [39400/169469 (0.023163706064224243)]
Train Epoch: 0 [39500/169469 (0.03900524601340294)]
Train Epoch: 0 [39600/169469 (0.05799345299601555)]
Train Epoch: 0 [39700/169469 (0.045610249042510986)]
Train Epoch: 0 [39800/169469 (0.03756828233599663)]
Train Epoch: 0 [39900/169469 (0.0619191899895668)]
Train Epoch: 0 [40000/169469 (0.030926449224352837)]
Train Epoch: 0 [40100/169469 (0.019447730854153633)]
Train Epoch: 0 [40200/169469 (0.02327280305325985)]
Train Epoch: 0 [40300/169469 (0.034946031868457794)]
Train Epoch: 0 [40400/169469 (0.026456836611032486)]
Train Epoch: 0 [40500/169469 (0.0349627286195755)]
Train Epoch: 0 [40600/169469 (0.050628114491701126)]
Train Epoch: 0 [40700/169469 (0.04742028936743736)]
Train Epoch: 0 [40800/169469 (0.02671905793249607)]
Train Epoch: 0 [40900/169469 (0.03693150728940964)]
Train Epoch: 0 [41000/169469 (0.035735853016376495)]
Train Epoch: 0 [41100/169469 (0.05817536264657974)]
Train Epoch: 0 [41200/169469 (0.08689267188310623)]
Train Epoch: 0 [41300/169469 (0.03179478272795677)]
Train Epoch: 0 [41400/169469 (0.07092966884374619)]
Train Epoch: 0 [41500/169469 (0.053962063044309616)]
Train Epoch: 0 [41600/169469 (0.04500878229737282)]
Train Epoch: 0 [41700/169469 (0.040002383291721344)]
Train Epoch: 0 [41800/169469 (0.04422799497842789)]
Train Epoch: 0 [41900/169469 (0.03555992245674133)]
Train Epoch: 0 [42000/169469 (0.05611035227775574)]
Train Epoch: 0 [42100/169469 (0.044502127915620804)]
Train Epoch: 0 [42200/169469 (0.056719571352005005)]
Train Epoch: 0 [42300/169469 (0.024163182824850082)]
Train Epoch: 0 [42400/169469 (0.03484833985567093)]
Train Epoch: 0 [42500/169469 (0.04832117632031441)]
Train Epoch: 0 [42600/169469 (0.07257063686847687)]
Train Epoch: 0 [42700/169469 (0.059394050389528275)]
Train Epoch: 0 [42800/169469 (0.06578265875577927)]
Train Epoch: 0 [42900/169469 (0.03199516236782074)]
Train Epoch: 0 [43000/169469 (0.08393370360136032)]
Train Epoch: 0 [43100/169469 (0.06729697436094284)]
Train Epoch: 0 [43200/169469 (0.02325848676264286)]
Train Epoch: 0 [43300/169469 (0.049577806144952774)]
Train Epoch: 0 [43400/169469 (0.04009058699011803)]
Train Epoch: 0 [43500/169469 (0.04814761504530907)]
Train Epoch: 0 [43600/169469 (0.049736082553863525)]
Train Epoch: 0 [43700/169469 (0.025470543652772903)]
Train Epoch: 0 [43800/169469 (0.04001561924815178)]
Train Epoch: 0 [43900/169469 (0.05476034805178642)]
Train Epoch: 0 [44000/169469 (0.047057073563337326)]
Train Epoch: 0 [44100/169469 (0.042605578899383545)]
Train Epoch: 0 [44200/169469 (0.058184411376714706)]
Train Epoch: 0 [44300/169469 (0.045375365763902664)]
Train Epoch: 0 [44400/169469 (0.025782817974686623)]
Train Epoch: 0 [44500/169469 (0.0505286268889904)]
Train Epoch: 0 [44600/169469 (0.04426644742488861)]
Train Epoch: 0 [44700/169469 (0.026085499674081802)]
Train Epoch: 0 [44800/169469 (0.013167408294975758)]
Train Epoch: 0 [44900/169469 (0.04764968901872635)]
Train Epoch: 0 [45000/169469 (0.10067334026098251)]
Train Epoch: 0 [45100/169469 (0.034618180245161057)]
Train Epoch: 0 [45200/169469 (0.05675569921731949)]
Train Epoch: 0 [45300/169469 (0.051004208624362946)]
