nohup: ignoring input
2118371 data samples found
Train Epoch: 0 [37400/52959 (0.00917399674654007)]
Train Epoch: 0 [37500/52959 (0.006610259413719177)]
Train Epoch: 0 [37600/52959 (0.007418113760650158)]
Train Epoch: 0 [37700/52959 (0.009494023397564888)]
Train Epoch: 0 [37800/52959 (0.011010739952325821)]
Train Epoch: 0 [37900/52959 (0.006538471207022667)]
Train Epoch: 0 [38000/52959 (0.004602367989718914)]
Train Epoch: 0 [38100/52959 (0.012934446334838867)]
Train Epoch: 0 [38200/52959 (0.016449622809886932)]
Train Epoch: 0 [38300/52959 (0.012695914134383202)]
Train Epoch: 0 [38400/52959 (0.010747779160737991)]
Train Epoch: 0 [38500/52959 (0.006443508435040712)]
Train Epoch: 0 [38600/52959 (0.007598543073982)]
Train Epoch: 0 [38700/52959 (0.007397967856377363)]
Train Epoch: 0 [38800/52959 (0.008304796181619167)]
Train Epoch: 0 [38900/52959 (0.004636536352336407)]
Train Epoch: 0 [39000/52959 (0.006335696205496788)]
Train Epoch: 0 [39100/52959 (0.00904772151261568)]
Train Epoch: 0 [39200/52959 (0.009076353162527084)]
Train Epoch: 0 [39300/52959 (0.007069351151585579)]
Train Epoch: 0 [39400/52959 (0.007105005905032158)]
Train Epoch: 0 [39500/52959 (0.016180064529180527)]
Train Epoch: 0 [39600/52959 (0.004727104213088751)]
Train Epoch: 0 [39700/52959 (0.009485229849815369)]
Train Epoch: 0 [39800/52959 (0.005290495231747627)]
Train Epoch: 0 [39900/52959 (0.008045988157391548)]
Train Epoch: 0 [40000/52959 (0.005232091527432203)]
Train Epoch: 0 [40100/52959 (0.008767534047365189)]
Train Epoch: 0 [40200/52959 (0.010529412887990475)]
Train Epoch: 0 [40300/52959 (0.018776845186948776)]
Train Epoch: 0 [40400/52959 (0.008986683562397957)]
Train Epoch: 0 [40500/52959 (0.007444531191140413)]
Train Epoch: 0 [40600/52959 (0.0071203699335455894)]
Train Epoch: 0 [40700/52959 (0.010659551247954369)]
Train Epoch: 0 [40800/52959 (0.015526282601058483)]
Train Epoch: 0 [40900/52959 (0.0077270884066820145)]
Train Epoch: 0 [41000/52959 (0.006011263467371464)]
Train Epoch: 0 [41100/52959 (0.005596822127699852)]
Train Epoch: 0 [41200/52959 (0.007042772602289915)]
Train Epoch: 0 [41300/52959 (0.007840586826205254)]
Train Epoch: 0 [41400/52959 (0.00410236231982708)]
Train Epoch: 0 [41500/52959 (0.00949508510529995)]
Train Epoch: 0 [41600/52959 (0.007713050581514835)]
Train Epoch: 0 [41700/52959 (0.006396956276148558)]
Train Epoch: 0 [41800/52959 (0.007689185906201601)]
Train Epoch: 0 [41900/52959 (0.009002827107906342)]
Train Epoch: 0 [42000/52959 (0.009822685271501541)]
Train Epoch: 0 [42100/52959 (0.007106129080057144)]
Train Epoch: 0 [42200/52959 (0.011419886723160744)]
Train Epoch: 0 [42300/52959 (0.007334054447710514)]
Train Epoch: 0 [42400/52959 (0.01227770559489727)]
Train Epoch: 0 [42500/52959 (0.005418397486209869)]
